name,title,coords
Музей к. Можга,Nature Reserve,"23.8917, 100.5129"
Museum of Jamesbury,Природный объект,"-62.6968, 152.4351"
Bridge of Davisstad,Museum,"9.8196, -63.712"
Музей с. Смоленск,Landmark,"-30.4637, 46.9088"
Bridge of South Davidberg,Природный объект,"33.646, -75.024"
Square of Hallstad,Historic Site,"-31.3113, 42.6691"
Castle of Lake Davidside,Исторический район,"-32.6898, -82.5309"
Bridge of Robertville,Природный объект,"48.396, 9.9306"
Square of Lake Adamchester,Public Park,"52.8971, -96.4125"
Museum of New Dawn,Пляж,"33.4328, -127.8932"
Museum of Millerport,Famous Intersection,"50.2244, -105.0438"
Замок д. Владимир,Famous Intersection,"2.9249, 143.4153"
Museum of Paultown,Природный объект,"-30.2391, 141.5747"
Парк г. Кижи,Mountain Peak,"6.4902, 58.8472"
Lake of Port Anthonyland,Исторический район,"-65.2589, -51.284"
Museum of New Jamieberg,Исторический район,"27.5846, -76.8537"
Bridge of Merrittborough,Historic Site,"-41.7778, -169.423"
Square of North Paul,Достопримечательность,"-19.9727, -16.6302"
Гора д. Павловский Посад,Горнолыжный курорт,"-20.5372, -162.0551"
Square of Michellestad,Public Park,"-19.1257, 167.9322"
Замок с. Белогорск (Амур.),Landmark,"24.7856, 64.2994"
Музей г. Карталы,Famous Intersection,"-9.5506, 20.8779"
Музей клх Нефедова,Храм,"37.0912, -106.7968"
Озеро к. Кропоткин (Краснод.),Природный объект,"6.527, -88.5668"
Замок п. Набережные Челны,Природный объект,"9.0388, 102.2134"
Park of West Jessicaport,Historic Site,"23.3311, -36.0404"
Lake of Amberville,Достопримечательность,"65.5363, -128.8173"
Castle of East Audreyshire,Достопримечательность,"0.3779, -75.5583"
Парк к. Александровск-Сахалинский,Landmark,"64.9383, 123.2197"
Lake of East Thomas,Музей,"69.9467, 40.8388"
Bridge of Paulport,Beach,"10.9598, -152.4407"
Square of New Samuelton,Landmark,"52.2357, -162.154"
Площадь с. Батайск,Музей,"-50.3747, -84.8103"
Bridge of Alexanderland,Горнолыжный курорт,"-68.6266, -52.6752"
Bridge of Alexanderland,Famous Intersection,"30.6799, 37.6219"
Площадь г. Ноябрьск,Beach,"-29.7342, 91.154"
Square of West Amber,Mountain Peak,"-32.0382, -89.8809"
Гора д. Сунтар,Горнолыжный курорт,"-62.5902, -58.0889"
Площадь клх Серебряные Пруды,Горнолыжный курорт,"-66.7187, -94.1732"
Гора д. Тайшет,Исторический район,"-39.9758, -29.0066"
Square of Shaneborough,Исторический район,"38.1073, 64.1701"
Парк д. Мирный,Historic Site,"38.4667, 77.9202"
Castle of Duffyfurt,Historic Site,"-36.8456, 110.5578"
Замок д. Гремячинск (Перм.),Природный объект,"-32.4182, -124.0769"
Парк ст. Кущевская,Beach,"-55.5487, 65.3167"
Square of Englishberg,Mountain Peak,"44.1129, -39.259"
Museum of Port Carmen,Пляж,"-51.2704, 114.0624"
Castle of Mckeeport,Горнолыжный курорт,"-24.0587, 126.3139"
Замок ст. Талдом,Горнолыжный курорт,"-28.6133, 98.833"
Park of East Sabrinafurt,Mountain Peak,"23.9827, 111.33"
Bridge of Lake Amber,Горнолыжный курорт,"-36.4735, 79.561"
Bridge of Riverafort,Historic Site,"-22.7136, -18.3913"
Парк д. Нязепетровск,Музей,"-3.9911, -29.3689"
Museum of West Gordon,Исторический район,"-30.787, 47.6917"
Museum of Peterhaven,Парк,"-39.5483, -100.8781"
Парк к. Губкинский,Famous Intersection,"-11.5664, 29.6479"
Парк п. Холмогоры,Пляж,"48.7011, -122.0057"
Замок д. Камышин,Горнолыжный курорт,"31.5028, 117.0314"
Музей к. Яхрома,Historic Site,"21.9527, 79.9721"
Square of West Scott,Beach,"-12.1366, 95.212"
Озеро к. Россошь,Храм,"-13.2054, -10.6924"
Площадь клх Назрань,Nature Reserve,"6.6954, -148.2061"
Park of North Kathleenview,Природный объект,"-0.6513, -43.9489"
Площадь ст. Нязепетровск,Mountain Peak,"41.3125, 0.048"
Bridge of Rossport,Nature Reserve,"36.9428, -126.7802"
Музей г. Октябрьское (Хант.),Nature Reserve,"63.9929, -156.9311"
Музей п. Махачкала,Природный объект,"-20.2171, 91.8713"
Bridge of New Justin,Nature Reserve,"-67.5134, 48.0144"
Square of North Wayne,Пляж,"33.3417, -43.0467"
Square of North Ashley,Public Park,"6.6423, -77.302"
Park of North Veronica,Исторический район,"-15.2948, -40.7365"
Площадь д. Кандалакша,Горнолыжный курорт,"-20.693, -7.2499"
Озеро ст. Красноярск,Исторический район,"46.5837, -76.8171"
Park of Scottshire,Museum,"-20.2627, -65.5527"
Bridge of South Chadville,Beach,"-4.3001, 115.422"
Озеро с. Красноуфимск,Храм,"-15.958, -113.6369"
Озеро г. Бирск,Достопримечательность,"-43.2746, -154.8807"
Bridge of Port Joshua,Mountain Peak,"30.3058, -133.3018"
Square of Welchborough,Пляж,"-56.7027, -74.4744"
Castle of Lake Julieberg,Famous Intersection,"-52.3818, -119.3896"
Bridge of West Kevin,Museum,"-62.8434, 133.4819"
Bridge of South Julieburgh,Beach,"47.2687, -30.7333"
Озеро г. Ряжск,Public Park,"41.9554, -79.9729"
Square of North Jared,Public Park,"-10.4523, 155.2328"
Озеро д. Кисловодск,Пляж,"-8.6885, -35.1722"
Замок к. Калач-на-Дону,Nature Reserve,"50.9236, 48.3948"
Park of New Ashleyton,Пляж,"-52.9482, 5.3416"
Lake of Chambershaven,Museum,"-23.8333, -87.0886"
Square of Jacquelineshire,Mountain Peak,"47.8794, -85.1131"
Замок к. Междуреченский,Пляж,"17.3279, 101.4414"
Castle of Port Mariaport,Museum,"50.4736, 48.9335"
Square of Port Sandra,Достопримечательность,"8.1119, -147.314"
Museum of Prattton,Public Park,"53.1047, -44.9511"
Museum of Valdezhaven,Храм,"-12.3808, 78.7576"
Bridge of Port Levimouth,Mountain Peak,"4.1266, -103.3031"
Озеро г. Верхний Уфалей,Historic Site,"22.8594, -156.3029"
Площадь ст. Уфа,Природный объект,"57.5823, -43.7418"
Park of East Alisha,Природный объект,"68.4659, -23.2936"
Замок ст. Завьялиха,Mountain Peak,"-68.3444, 122.4476"
Castle of Port Crystal,Nature Reserve,"64.9132, 16.7925"
Bridge of Sherryhaven,Mountain Peak,"56.7119, -163.4088"
Площадь с. Можайск,Достопримечательность,"33.6047, -26.4171"
Museum of Stacymouth,Парк,"57.9999, 88.7201"
Площадь с. Можга,Пляж,"63.7786, -72.9452"
Гора клх Апатиты,Public Park,"-16.0065, 115.3002"
Площадь п. Курильск,Mountain Peak,"-46.1889, 77.5058"
Площадь ст. Пушкин,Природный объект,"-32.6346, -36.5961"
Museum of New Justinland,Исторический район,"40.684, -76.7569"
Castle of Lake Jennifermouth,Landmark,"-61.5662, 98.1811"
Museum of Sharpburgh,Природный объект,"-62.5829, 53.4403"
Castle of West Lisashire,Храм,"-62.0672, -70.0265"
Park of Lake Shannonton,Исторический район,"-30.053, 115.7002"
Замок с. Луховицы,Public Park,"-31.2768, -143.3928"
Museum of Johnsontown,Famous Intersection,"-55.9038, 131.899"
Музей клх Чокурдах,Пляж,"51.3758, 35.7108"
Square of North Nicholaschester,Парк,"-59.9753, -118.9709"
Park of New Christineton,Природный объект,"2.2166, -55.0329"
Замок клх Ставрополь,Достопримечательность,"25.4394, -128.232"
Замок к. Вологда,Famous Intersection,"-42.4136, 64.8237"
Площадь к. Вуктыл,Museum,"-28.5754, -134.3953"
Парк ст. Яшкуль,Public Park,"-21.0025, -0.2072"
Museum of South Lisa,Museum,"18.241, -109.9455"
Square of Ramosview,Historic Site,"66.908, -98.7853"
Square of Whitneyberg,Музей,"55.0475, -129.9526"
Bridge of Leonardmouth,Landmark,"-65.213, -114.3015"
Музей клх Тюмень,Горнолыжный курорт,"-33.2801, 39.5292"
Площадь п. Дивногорск,Достопримечательность,"23.3279, 157.0521"
Castle of Port Lukebury,Beach,"-47.3069, -89.4384"
Площадь ст. Сорочинск,Historic Site,"-69.7879, 133.1935"
Музей д. Ковров,Достопримечательность,"30.6705, -85.565"
Гора г. Артем,Достопримечательность,"-35.0553, -32.5252"
Park of North David,Museum,"64.2049, 129.1963"
Парк ст. Апатиты,Beach,"-20.1704, -132.4296"
Bridge of Vazquezfurt,Public Park,"34.5077, -97.3171"
Castle of Banksfort,Горнолыжный курорт,"-42.6623, 165.9578"
Square of Jamesville,Парк,"19.299, 77.2139"
Замок с. Далматово,Пляж,"60.3924, -87.3537"
Музей г. Ребриха,Храм,"50.9256, -8.6051"
Музей с. Омск,Beach,"58.8895, 23.8802"
Гора к. Брянск,Famous Intersection,"-13.7395, -4.24"
Park of Lake Katherinefort,Nature Reserve,"61.6614, 37.2249"
Площадь д. Ангарск,Горнолыжный курорт,"33.2367, -166.7515"
Площадь клх Руза,Landmark,"-38.5039, 124.4476"
Bridge of Rowlandfurt,Исторический район,"-21.6791, -103.5971"
Озеро клх Дербент,Музей,"39.6347, -21.5263"
Museum of Littleton,Достопримечательность,"-33.7108, -54.3083"
Музей ст. Раменское,Музей,"30.6287, 114.3849"
Lake of Justinville,Beach,"-6.4486, 129.5412"
Museum of East Tammyhaven,Museum,"-60.1265, -152.238"
Музей д. Обнинск,Музей,"58.864, 77.1109"
Park of East Ashleyville,Природный объект,"27.5521, -5.2174"
Lake of Davidburgh,Famous Intersection,"-52.369, -151.1858"
Square of Mcgeeport,Храм,"4.235, -24.0373"
Museum of Mccartyburgh,Public Park,"-48.0208, 115.8608"
Bridge of North Janiceton,Парк,"-59.0029, 126.887"
Lake of East Robin,Исторический район,"-36.2296, 167.4366"
Castle of South William,Исторический район,"-30.5336, 99.5029"
Castle of Paulburgh,Исторический район,"-39.3596, 131.3335"
Park of East Melissa,Природный объект,"54.4631, -120.6367"
Square of North Alejandro,Достопримечательность,"-40.534, -121.2546"
Park of Jonathanmouth,Nature Reserve,"-16.5058, 1.5967"
Park of Teresafort,Mountain Peak,"52.5283, -156.0236"
Park of East Tracyfurt,Исторический район,"29.6401, 62.5244"
Museum of Fosterfurt,Landmark,"-68.2518, 126.1341"
Castle of Bellstad,Исторический район,"3.4847, 120.0819"
Park of Port Michael,Парк,"-12.2117, -139.293"
Castle of Jacquelineberg,Парк,"-61.6708, 39.689"
Castle of Christietown,Beach,"3.4967, -114.2716"
Lake of East Brianmouth,Исторический район,"-52.0377, -163.9387"
Castle of Jasonmouth,Природный объект,"26.7167, 55.3082"
Замок к. Миасс,Famous Intersection,"58.3269, 100.617"
Площадь клх Сосновый Бор,Beach,"36.7597, 73.8083"
Bridge of Mcmillanview,Храм,"-42.8609, -122.1195"
Square of Marychester,Горнолыжный курорт,"-47.4775, -154.286"
Castle of Lake Dominiquemouth,Beach,"62.0131, -155.7937"
Музей п. Мелеуз,Пляж,"59.6725, -80.7641"
Park of Michaelberg,Historic Site,"41.9779, -158.8337"
Замок ст. Кизел,Парк,"-17.6241, -80.5936"
Museum of Bennettborough,Historic Site,"-14.8574, 32.4693"
Озеро ст. Октябрьский (Башк.),Mountain Peak,"27.8133, 144.7665"
Bridge of East Markport,Landmark,"25.0633, -7.1502"
Park of Lake Aprilland,Парк,"-4.3853, 119.0597"
Гора д. Волоколамск,Landmark,"56.7084, -163.902"
Гора ст. Белореченск,Nature Reserve,"43.3202, -109.209"
Square of Lake Chadfurt,Museum,"-45.3094, 0.2596"
Bridge of North Madisonton,Nature Reserve,"-45.8366, 1.3536"
Park of Christineside,Famous Intersection,"55.3135, -83.7209"
Park of Port Davidview,Исторический район,"-21.929, 90.2635"
Гора г. Жуковский,Historic Site,"56.9572, 38.6543"
Lake of New Adammouth,Пляж,"66.8172, -108.7501"
Музей д. Красноярск,Горнолыжный курорт,"-57.8306, -102.32"
Castle of Wilsonbury,Nature Reserve,"32.718, -38.681"
Bridge of Port Angie,Пляж,"39.322, 82.2096"
Музей г. Пятигорск,Public Park,"19.4392, -34.6918"
Гора клх Жуковский,Природный объект,"27.9746, -47.8784"
Square of North Ebonyberg,Public Park,"-33.1614, 3.0981"
Castle of Williamborough,Beach,"63.5742, -112.5023"
Castle of Saunderschester,Исторический район,"25.0196, -53.5088"
Castle of Perezborough,Public Park,"46.735, -12.5545"
Lake of Lake Erika,Public Park,"-38.4728, -15.7725"
Park of North Evanstad,Природный объект,"-9.9979, -152.5277"
Park of East Garrettchester,Храм,"45.8885, 62.7655"
Площадь ст. Темрюк,Mountain Peak,"21.4956, 30.2972"
Музей п. Буйнакск,Mountain Peak,"18.7617, 66.6058"
Гора клх Калач-на-Дону,Landmark,"-38.5888, -41.3989"
Park of Floydton,Historic Site,"-4.3784, -125.1497"
Музей д. Октябрьский (Башк.),Парк,"-29.6491, 8.8159"
Музей клх Чайковский,Природный объект,"44.1648, 19.0363"
Castle of Jayburgh,Public Park,"19.616, 63.1191"
Bridge of East Amanda,Public Park,"35.9303, -41.5195"
Park of Josephshire,Public Park,"-37.4956, 41.1702"
Park of West Kimstad,Nature Reserve,"-11.769, -87.2585"
Square of South Noah,Nature Reserve,"7.8597, 5.6647"
Castle of Howardbury,Famous Intersection,"51.649, 23.9133"
Castle of West Melinda,Mountain Peak,"35.1488, -13.4411"
Castle of New Melissa,Mountain Peak,"35.5568, -137.8631"
Парк с. Городовиковск,Исторический район,"12.7075, -100.7778"
Square of South Brian,Храм,"-41.282, 35.4061"
Castle of Lake Dennis,Public Park,"-0.3064, 10.0905"
Замок с. Белый Яр (Томск.),Храм,"24.8963, -108.2687"
Площадь г. Североморск,Пляж,"-55.047, 24.283"
Lake of Port Paulafort,Пляж,"33.0404, 60.8769"
Castle of Smithland,Горнолыжный курорт,"35.1077, -21.9845"
Square of Melissahaven,Nature Reserve,"61.8309, 63.5265"
Парк г. Ангарск,Горнолыжный курорт,"43.1699, 3.3837"
Lake of Kingview,Храм,"-3.065, -122.9536"
Bridge of South Patriciamouth,Landmark,"-3.8551, 103.7393"
Lake of Allenberg,Mountain Peak,"30.2391, -101.7787"
Замок с. Кизилюрт,Mountain Peak,"34.1816, 66.0549"
Lake of South Joshua,Public Park,"-10.4849, -53.1342"
Lake of North Robertberg,Музей,"37.2678, -10.354"
Lake of New Michelle,Природный объект,"61.735, 81.3475"
Lake of North Dianechester,Пляж,"-44.4605, -151.4341"
Bridge of New Cindy,Nature Reserve,"-21.9598, 61.726"
Museum of Gomezport,Mountain Peak,"27.4179, -57.0737"
Гора к. Шамары,Mountain Peak,"-14.3668, -68.1327"
Музей ст. Сыктывкар,Mountain Peak,"27.8405, -131.9663"
Музей г. Теберда,Природный объект,"-18.6825, 158.537"
Парк п. Усть-Ишим,Landmark,"8.0256, 6.7453"
Площадь д. Плес,Горнолыжный курорт,"44.896, 50.0991"
Museum of Nicholasbury,Museum,"37.2419, -141.5583"
Bridge of Danielsside,Достопримечательность,"-29.8708, 168.1075"
Музей ст. Серов,Парк,"48.6471, 101.4558"
Замок с. Тында,Nature Reserve,"43.0064, 66.0656"
Castle of West Tammy,Public Park,"43.6971, 133.928"
Парк ст. Дербент,Mountain Peak,"34.0234, -52.6262"
Park of Ryanfurt,Музей,"63.2095, -89.6623"
Площадь г. Камышин,Достопримечательность,"64.3643, 85.3126"
Гора ст. Кяхта,Beach,"-6.6269, -72.1128"
Museum of Johnsonside,Nature Reserve,"20.7555, -65.363"
Castle of Edwardfort,Beach,"-56.5888, -153.9608"
Park of Williamtown,Landmark,"-28.1457, 138.3301"
Замок к. Амурск,Храм,"-25.7697, 83.9802"
Озеро клх Нерчинск,Museum,"-62.008, 148.5567"
Парк п. Слюдянка,Горнолыжный курорт,"-31.5907, 160.978"
Square of Danielside,Достопримечательность,"-46.1152, 19.5813"
Square of Russellbury,Museum,"69.5221, -48.5675"
Площадь ст. Обнинск,Beach,"-59.7613, 109.3294"
Площадь клх Белоярский,Парк,"-56.1561, 60.4669"
Park of Jamesbury,Пляж,"37.0807, -156.6756"
Castle of Lake Heatherton,Historic Site,"27.5977, -86.8245"
Park of New Billyview,Public Park,"28.557, -84.97"
Square of Ambermouth,Достопримечательность,"-54.8565, 26.4513"
Park of West Calebside,Парк,"-21.846, -26.5076"
Гора к. Учалы,Парк,"59.0206, -26.0371"
Square of East Brittney,Famous Intersection,"-55.6771, 157.0077"
Bridge of Brownton,Public Park,"-65.7008, -15.8822"
Парк п. Норильск,Historic Site,"25.7229, -166.9589"
Bridge of New Kelly,Mountain Peak,"18.5387, 47.1358"
Парк с. Каргополь,Famous Intersection,"-47.6202, -158.7279"
Площадь д. Воскресенск,Храм,"-23.3891, -163.613"
Square of Ramirezfurt,Храм,"-33.2205, 22.9912"
Музей д. Игарка,Nature Reserve,"69.6028, -115.8324"
Площадь с. Нефтекамск,Museum,"-34.9014, 38.1688"
Square of West Rebeccaburgh,Mountain Peak,"63.9801, 158.3513"
Bridge of Bettybury,Музей,"-2.7272, -100.4532"
Museum of South Adammouth,Парк,"57.0353, -163.4485"
Castle of West Michaelstad,Природный объект,"-61.9393, -154.8348"
Square of North Katherinefort,Famous Intersection,"-59.1556, 82.3239"
Lake of East Leslie,Храм,"42.2642, 164.5381"
Парк д. Северобайкальск,Famous Intersection,"18.809, 103.8698"
Гора п. Октябрьское (Челяб.),Парк,"-55.433, 24.6149"
Square of North Dorothyborough,Famous Intersection,"-36.0784, 109.9788"
Замок д. Тавда,Nature Reserve,"-66.0778, 145.9754"
Площадь с. Агинское (Забайк.),Достопримечательность,"30.7368, -165.5933"
Castle of North Lesliefort,Landmark,"-3.0929, -60.8554"
Bridge of Donnaberg,Museum,"-35.102, 160.1844"
Square of Dannystad,Музей,"-48.3187, -49.1975"
Гора г. Чайковский,Historic Site,"-11.9276, -157.7484"
Bridge of Erinhaven,Mountain Peak,"-46.8319, -114.6188"
Castle of Gomezton,Горнолыжный курорт,"-62.7711, -94.7291"
Гора ст. Кызыл,Beach,"-5.8792, 53.4053"
Park of Samanthastad,Горнолыжный курорт,"27.7464, 127.8809"
Museum of Smithburgh,Museum,"-12.7049, -159.3044"
Парк клх Териберка,Горнолыжный курорт,"29.7494, -31.6795"
Замок ст. Малая Вишера,Public Park,"5.0391, 106.4987"
Park of Gregoryfort,Музей,"3.2781, -84.9117"
Музей д. Калач-на-Дону,Горнолыжный курорт,"30.4188, 87.4346"
Park of North Jillside,Beach,"-38.4974, -133.1037"
Park of North Angelabury,Historic Site,"-27.2744, 58.5047"
Lake of Michaelville,Mountain Peak,"-55.018, -95.6685"
Park of West Brittney,Nature Reserve,"34.1108, 73.7814"
Castle of East Luis,Пляж,"-65.2412, -166.8137"
Замок п. Новочеркасск,Достопримечательность,"-33.2897, -74.1884"
Площадь ст. Волгоград,Historic Site,"2.3117, -27.3047"
Площадь ст. Великий Устюг,Достопримечательность,"-39.3512, 115.4556"
Bridge of Ashleyland,Пляж,"17.216, 148.1608"
Square of South Billyberg,Historic Site,"5.7008, -73.2305"
Bridge of Port Matthewhaven,Historic Site,"12.9671, -97.0192"
Гора к. Тавда,Исторический район,"-31.0394, 159.6762"
Castle of Chasebury,Природный объект,"64.4967, -101.1722"
Замок клх Архангельск,Исторический район,"62.6074, -121.9836"
Озеро ст. Моршанск,Пляж,"-66.1667, 92.8519"
Музей клх Краснокамск,Beach,"-66.8466, -132.4829"
Lake of Andreachester,Famous Intersection,"0.5755, -122.4535"
Площадь с. Астрахань,Landmark,"-46.3285, 116.4146"
Гора клх Кулу,Famous Intersection,"39.3036, 163.8385"
Музей к. Майкоп,Beach,"-63.3844, -146.8717"
Площадь д. Мончегорск,Public Park,"-16.1891, 58.8864"
Park of Matthewland,Beach,"1.9998, -134.9865"
Bridge of New Joseph,Historic Site,"20.299, 4.7337"
Парк г. Плесецк,Historic Site,"24.6665, 40.5169"
Lake of Coltonbury,Музей,"28.0923, 96.7634"
Museum of North Beverlyfurt,Nature Reserve,"54.311, 148.0636"
Озеро п. Северобайкальск,Museum,"-24.985, 80.2492"
Замок к. Новокузнецк,Famous Intersection,"26.1824, 125.4538"
Парк д. Волгоград,Исторический район,"-41.3523, 17.9907"
Museum of Lake Lindaberg,Природный объект,"64.6864, -73.9563"
Площадь ст. Каспийск,Nature Reserve,"-62.2179, 45.414"
Museum of New Chad,Famous Intersection,"-68.987, -101.9572"
Замок клх Елабуга,Famous Intersection,"-0.0999, 73.097"
Bridge of New Ricky,Nature Reserve,"-15.2546, 160.4487"
Museum of Johnsonborough,Nature Reserve,"27.2842, -70.6931"
Озеро г. Красноуральск,Пляж,"42.7701, 27.3156"
Museum of Johnchester,Храм,"34.1225, -142.2506"
Museum of Candiceborough,Достопримечательность,"20.0219, 124.7775"
Bridge of Rodriguezshire,Природный объект,"-13.4018, -57.2732"
Castle of Yutown,Historic Site,"-39.5528, -169.1083"
Park of Jamieborough,Landmark,"-68.3132, 12.1443"
Музей клх Белоярский,Famous Intersection,"-26.3469, 100.4377"
Парк г. Братск,Природный объект,"34.4693, 47.8556"
Озеро с. Волоколамск,Парк,"16.5327, -99.6256"
Озеро клх Уэлен,Исторический район,"58.0675, -108.4214"
Озеро к. Рославль,Famous Intersection,"-39.5608, -86.1635"
Park of New Jon,Горнолыжный курорт,"-31.5161, -95.0319"
Park of Calebview,Mountain Peak,"-69.1206, 60.3605"
Bridge of East Renee,Public Park,"68.2967, -122.4401"
Castle of Lake Kimberlymouth,Музей,"65.7046, -35.09"
Castle of West James,Исторический район,"-52.24, 144.4867"
Парк д. Североуральск,Museum,"33.8886, 169.1039"
Музей к. Усть-Кут,Beach,"9.3506, -140.7111"
Castle of Perrymouth,Mountain Peak,"19.5198, -6.9789"
Square of Lake Margaretstad,Landmark,"-16.3098, 55.0859"
Square of Lake Walter,Landmark,"31.9048, 79.0459"
Музей г. Лесной (Сверд.),Исторический район,"7.9994, 132.1352"
Lake of Lake Brandonstad,Пляж,"-57.6535, 78.3081"
Площадь клх Касимов,Исторический район,"-8.9155, 62.254"
Lake of Lake Michaeltown,Landmark,"10.9247, 38.4015"
Park of Lake Steven,Пляж,"24.8247, -68.5785"
Замок ст. Великие Луки,Nature Reserve,"-52.4559, -98.7337"
Square of New Jessica,Beach,"-68.5582, 45.9049"
Площадь г. Осташков,Beach,"3.579, 116.3727"
Lake of Wadeside,Музей,"-51.5753, -85.7126"
Square of Jimmystad,Музей,"-39.6988, -47.5062"
Замок с. Братск,Природный объект,"-43.6644, 146.2688"
Парк клх Обнинск,Famous Intersection,"18.7385, 45.7822"
Площадь ст. Иркутск,Горнолыжный курорт,"19.3414, 54.3497"
Замок ст. Камышин,Храм,"23.0727, 90.3431"
Парк г. Кызыл,Храм,"19.5644, -16.3626"
Замок ст. Тырныауз,Famous Intersection,"55.9327, 9.9592"
Bridge of Frankstad,Пляж,"-62.9318, 29.9156"
Park of West Karaburgh,Достопримечательность,"25.6412, -143.8729"
Музей п. Кижи,Mountain Peak,"-31.5964, -63.0055"
Площадь п. Карталы,Храм,"-69.2363, -92.2246"
Museum of West Amy,Исторический район,"-26.4589, -145.8967"
Lake of Silvabury,Парк,"17.7216, -92.1752"
Castle of Kathleenland,Beach,"-3.4661, 58.1893"
Площадь с. Кирово-Чепецк,Храм,"21.9553, 97.7134"
Площадь ст. Диксон,Mountain Peak,"-21.2762, -88.5959"
Площадь с. Ханты-Мансийск,Historic Site,"67.1406, -43.849"
Lake of Lake Heather,Природный объект,"47.7329, -68.3584"
Парк ст. Шерегеш,Достопримечательность,"11.059, -117.5689"
Park of Justinchester,Музей,"-45.6046, -75.2532"
Square of Freemanbury,Достопримечательность,"58.0345, 54.0922"
Castle of Joystad,Природный объект,"-64.3198, 167.8505"
Square of Travisborough,Музей,"44.7866, -49.0991"
Lake of Port Alan,Landmark,"30.2972, -137.8955"
Castle of Jonathanberg,Природный объект,"37.4664, 54.8654"
Площадь д. Пышма,Музей,"-10.3851, -147.032"
Гора клх Юрьевец (Иван.),Музей,"-16.433, -91.2952"
Парк г. Котельнич,Landmark,"-22.1566, 81.7851"
Square of Teresaland,Beach,"-34.0806, -112.6883"
Замок д. Петушки,Historic Site,"50.6777, -93.5239"
Square of Charlesmouth,Музей,"11.5122, -81.2342"
Park of West Nicholasburgh,Храм,"56.5194, 150.4"
Park of Port Paul,Пляж,"25.8693, 112.3436"
Park of Harrisonshire,Landmark,"67.7629, -41.2347"
Castle of Turnerberg,Парк,"16.4185, 45.9317"
Park of Fordfort,Nature Reserve,"-9.635, 10.9563"
Гора к. Сургут (Хант.),Исторический район,"54.3079, -146.5107"
Озеро с. Миасс,Museum,"-20.9569, -53.0328"
Bridge of Rebeccaside,Landmark,"21.9805, 147.0889"
Museum of East Michaelton,Public Park,"-24.031, -77.8972"
Замок ст. Кяхта,Nature Reserve,"32.0798, 113.0451"
Гора д. Дербент,Public Park,"-43.4658, -163.5473"
Озеро ст. Костомукша,Mountain Peak,"-16.446, -106.1201"
Museum of Shawnberg,Museum,"-55.6529, 143.9045"
Замок с. Серафимович,Famous Intersection,"29.3724, 70.1"
Lake of Hallton,Mountain Peak,"-29.89, 126.0799"
Озеро г. Ессентуки,Landmark,"-46.1605, 102.8541"
Гора с. Домбай,Храм,"59.9819, 128.4237"
Lake of Lake Kyle,Храм,"-34.9, -44.4676"
Lake of Andersonland,Природный объект,"-56.861, -67.9087"
Castle of Kristinabury,Museum,"67.7179, 12.6836"
Lake of New Michaelafort,Nature Reserve,"22.0415, 120.2435"
Bridge of Lake Melissabury,Исторический район,"-12.7305, 34.949"
Гора к. Абинск,Горнолыжный курорт,"-42.9262, 165.1267"
Площадь п. Бодайбо,Музей,"-45.007, 18.5948"
Музей к. Игнашино,Famous Intersection,"21.0888, 120.4697"
Парк г. Красноуральск,Музей,"51.8646, -3.6369"
Замок г. Ельня,Mountain Peak,"-38.4052, -120.9448"
Парк г. Славгород,Historic Site,"2.6314, -104.9126"
Площадь к. Саранск,Public Park,"49.1495, -104.9517"
Замок г. Дзержинск,Mountain Peak,"29.2614, -22.2865"
Square of Torresville,Mountain Peak,"-31.5847, -15.5228"
Озеро д. Благовещенск (Амур.),Nature Reserve,"-64.9097, -17.1432"
Гора д. Новый Оскол,Famous Intersection,"14.7144, 84.9309"
Museum of South Christopherbury,Historic Site,"58.7734, -23.937"
Castle of Youngberg,Museum,"30.6379, -56.2632"
Museum of Colonberg,Парк,"-33.0209, 26.3548"
Парк ст. Джубга,Храм,"57.0466, -11.6886"
Музей с. Баксан,Museum,"-35.111, -111.7399"
Museum of South Jamieton,Парк,"-30.1514, 95.3488"
Музей г. Усть-Баргузин,Nature Reserve,"13.3527, 3.6789"
Square of Lisatown,Храм,"-21.0056, 147.243"
Гора к. Тольятти,Historic Site,"-45.9786, 64.5985"
Square of Sarahberg,Пляж,"-11.1762, 130.0434"
Парк д. Палана,Mountain Peak,"0.056, -10.6034"
Парк клх Оленек,Горнолыжный курорт,"-54.2352, -17.5481"
Castle of Laurenfort,Пляж,"27.9254, 133.9624"
Парк г. Елабуга,Nature Reserve,"56.0484, 91.385"
Castle of East Johnathanport,Храм,"-46.8468, 155.0635"
Museum of Leeberg,Пляж,"51.6856, 165.5384"
Музей ст. Магнитогорск,Исторический район,"17.0435, 150.266"
Bridge of North Carly,Historic Site,"42.7308, -91.7668"
Гора к. Ялуторовск,Historic Site,"-61.4084, 167.9956"
Парк ст. Юровск,Museum,"-35.985, -155.7651"
Square of New Gilbertland,Famous Intersection,"-8.0334, -53.4933"
Озеро д. Апатиты,Исторический район,"25.9175, -0.3984"
Замок ст. Обоянь,Nature Reserve,"66.2739, 93.699"
Lake of Port Stevenstad,Public Park,"-17.2104, -5.686"
Гора г. Новосибирск,Природный объект,"35.382, 13.0773"
Гора к. Калуга,Музей,"40.9744, -73.3885"
Музей п. Охотск,Mountain Peak,"-4.6067, 102.5485"
Park of East Maryburgh,Nature Reserve,"-56.7131, -62.8746"
Park of South Michael,Beach,"-44.4841, 159.8235"
